publisher,total_global_sales,game_count,avg_sales_per_game,median_sales_per_game,active_years,platform_count,genre_count,avg_market_share_pct,high_success_rate
New,0.36,3,0.36,0.36,3,1,3,0.3302146395156852,0
Performance Designed Products,0.36,3,0.18,0.18,2,3,2,0.04989120944606898,0
Milestone,0.35000000000000003,24,0.08750000000000001,0.08499999999999999,10,15,6,0.04355363173241838,0
CokeM Interactive,0.35,3,0.175,0.175,2,3,1,0.0297742802212099,0
Team17 Software,0.35,45,0.11666666666666665,0.05,8,9,9,0.0577454632777274,0
CyberFront,0.34,78,0.013076923076923076,0.01,14,11,7,0.009655695546981013,0
Slitherine Software,0.34,17,0.068,0.05,4,8,3,0.017885011984164714,0
Reef Entertainment,0.33999999999999997,14,0.04857142857142857,0.03,6,8,3,0.019865092349151056,0
Benesse,0.33,9,0.055,0.055,2,1,1,0.021098906536950138,0
MLB Advanced Media,0.33,3,0.11,0.13,1,3,1,0.22303325223033252,0
Starpath Corp.,0.33,1,0.33,0.33,1,1,1,0.7654836464857342,0
Agatsuma Entertainment,0.32,7,0.08,0.055,7,5,3,0.018487386414519927,0
Indie Games,0.32,3,0.10666666666666667,0.04,1,1,2,0.07214031290860724,0
Milestone S.r.l,0.32,6,0.05333333333333334,0.03,2,3,1,0.06959617118715819,0
Yacht Club Games,0.32,19,0.10666666666666667,0.11,5,12,2,0.1111304045841292,0
Wargaming.net,0.31999999999999995,6,0.15999999999999998,0.15999999999999998,6,2,2,0.02924735334024805,0
Hamster Corporation,0.31000000000000005,290,0.10333333333333335,0.02,14,12,11,0.01456257712435142,0
Hackberry,0.31,20,0.04428571428571428,0.03,10,3,1,0.02260441241656313,0
Marvelous,0.31,9,0.10333333333333333,0.06,6,6,5,0.054044760804432684,0
Neko Entertainment,0.31,30,0.034444444444444444,0.02,8,9,8,0.013534809440545727,0
Game Life,0.30000000000000004,2,0.15000000000000002,0.15000000000000002,2,1,2,0.02176865072662599,0
Skybound Games,0.30000000000000004,8,0.07500000000000001,0.07500000000000001,2,3,3,0.20275750202757503,0
Data Design Interactive,0.29000000000000004,6,0.09666666666666666,0.09,4,2,5,0.014604476689727962,0
Excalibur Publishing,0.29000000000000004,9,0.04142857142857143,0.01,4,2,3,0.028023017781523808,0
Media Factory,0.29000000000000004,14,0.14500000000000002,0.14500000000000002,3,5,6,0.051204475851015986,0
Grey Box,0.29,5,0.09666666666666666,0.11,2,4,2,0.15110462692788662,0
Merge Games,0.29,32,0.03625,0.03,6,5,8,0.12589840702527558,0
ASCII Media Works,0.28,16,0.028,0.02,7,7,4,0.010194903202955555,0
Culture Brain,0.28,83,0.04666666666666667,0.02,26,8,9,0.15707566103170156,0
Nichibutsu,0.28,18,0.28,0.28,7,7,7,0.25683360851219966,0
Yeti,0.28,16,0.018666666666666668,0.01,9,5,4,0.008728283417969466,0
